"","X","Pathway","Type","Plantform","Leafspan","Tregion","Wregion","Wregion2","opt","Date","Time","Datacontrib","Funtype","fitgroup","Location","RH","Tair","Tleaf","CO2S","PARin","Patm","BLCond","Trmmol","SWC","SWP","lat","lon","Totalheight","LAI","sampleheight","canopyposition","LWP","LWPpredawn","Instrument","Season","GrowthCa","GrowthTair","Growthcond","Treatment","OriginalFile","Comments","Reference","LightSource","Cond","Photo","VPD","Ci","species","citation_id"
"11",3186,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","10/11/11","10:24:06","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",83.45147705,27.96506119,30.11054993,376.9440308,1233.963501,100.6238708,-9999,2.198714434,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.204111434,14.26803207,1.327172784,251.6638543,"Acmena graveolens",1000000175
"12",3187,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","10/11/11","10:29:09","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",75.96354675,28.01470375,30.56077576,396.4026489,381.7801208,100.6260071,-9999,0.299459679,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.019321948,2.043038055,1.514455366,218.4561372,"Acmena graveolens",1000000175
"13",3188,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","10/11/11","10:32:04","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",81.9640274,27.98432541,30.46804619,380.0623779,1196.085449,100.6272049,-9999,1.802118949,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.145442315,12.41924537,1.268776735,230.4361463,"Acmena graveolens",1000000175
"14",3189,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","10/11/11","10:34:55","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",81.67655182,28.06714439,29.89738655,382.5808716,1317.515747,100.6273804,-9999,1.775963915,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.162995223,10.97723953,1.123755784,263.0073062,"Acmena graveolens",1000000175
"15",3190,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","10/11/11","10:38:22","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",78.70372009,28.14643288,31.0173378,391.7502747,789.9078369,100.6300278,-9999,0.923003195,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.060879904,5.069105947,1.503569225,247.8944521,"Acmena graveolens",1000000175
"16",3191,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","10/11/11","14:22:28","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",62.11522675,30.22993469,32.3274765,379.3495178,1588.640991,100.4303589,-9999,3.484727174,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.164225537,13.27326831,2.182767189,231.9694237,"Acmena graveolens",1000000175
"17",3192,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","10/11/11","14:24:43","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",62.5662117,30.26025581,30.95164871,382.4543762,998.7435303,100.4223099,-9999,3.373905864,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.196140789,11.10797847,1.793245767,276.2284638,"Acmena graveolens",1000000175
"18",3193,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","10/11/11","14:28:10","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",59.87391663,30.02970505,29.84972382,385.9091492,348.4776917,100.4252167,-9999,2.116575373,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.129317871,8.909947297,1.668558797,262.0424614,"Acmena graveolens",1000000175
"19",3194,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","10/11/11","14:29:38","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",56.64954376,30.16996002,32.5665741,391.4533081,618.5150146,100.4253845,-9999,1.157879976,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.045732519,5.201635431,2.493179301,214.6277768,"Acmena graveolens",1000000175
"20",3195,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","10/11/11","14:33:39","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",64.84121704,30.3018856,32.22127533,377.3617859,1523.808472,100.4219894,-9999,3.846996687,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.197769948,14.67569211,2.024421227,240.5142086,"Acmena graveolens",1000000175
"21",3196,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","2/11/11","10:35:24","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",75.36220551,29.77467346,30.65130043,391.247467,408.702179,100.1881561,-9999,0.572185979,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.04478876,5.224466375,1.253009378,205.7233232,"Acmena graveolens",1000000175
"22",3197,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","2/11/11","10:40:32","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",77.47507477,29.81649208,31.29585266,384.1738892,1233.623535,100.181076,-9999,1.521957346,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.115844967,10.18651214,1.321887228,231.3024491,"Acmena graveolens",1000000175
"23",3198,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","2/11/11","10:44:04","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",80.38749695,29.84992981,30.56756401,377.9413757,997.9318237,100.1874847,-9999,2.493879875,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.263325917,14.27609245,1.005873678,278.1369159,"Acmena graveolens",1000000175
"24",3199,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","2/11/11","10:50:28","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",75.09115601,29.98488617,30.02439308,388.4184265,296.7488708,100.1935501,-9999,1.162460329,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.109280322,8.180333995,1.069978382,258.5562752,"Acmena graveolens",1000000175
"25",3200,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","2/11/11","10:53:20","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",76.91394043,30.02289009,30.09063721,387.5360107,390.1242065,100.1919632,-9999,1.625596084,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.166696603,8.759764034,1.001489735,293.1552671,"Acmena graveolens",1000000175
"26",3201,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","2/11/11","14:38:09","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",72.48713684,30.07670975,32.34075928,386.3399963,1942.520752,99.97957611,-9999,1.820338493,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.102930287,10.74515477,1.766046203,204.8992251,"Acmena graveolens",1000000175
"27",3202,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","2/11/11","14:45:05","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",73.45021057,30.09903145,30.34379196,386.7864075,451.5002747,99.96587372,-9999,1.791884216,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.152484734,10.28287876,1.198154593,266.9187101,"Acmena graveolens",1000000175
"28",3203,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","2/11/11","14:50:29","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",75.0778656,30.49156761,33.06356049,384.6583557,1869.855713,99.96153259,-9999,2.48722666,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.141224834,11.63907211,1.78008921,237.3768083,"Acmena graveolens",1000000175
"29",3204,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","2/11/11","14:52:10","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",78.527771,30.47710037,33.06007004,380.5916138,1921.439819,99.95841217,-9999,3.583677901,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.229172654,14.31272039,1.630760928,264.3068564,"Acmena graveolens",1000000175
"30",3205,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","2/11/11","14:54:55","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",79.34588623,30.49614334,32.38439941,379.1131897,1589.115356,99.95111847,-9999,3.756387355,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.285254197,15.35794148,1.401931082,277.1637867,"Acmena graveolens",1000000175
"31",3206,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","30/10/11","9:39:41","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",79.28900146,26.9662838,27.37863922,370.8023987,389.6409912,100.1746597,-9999,1.38910392,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.173826647,7.24222947,0.827266175,266.7242049,"Acmena graveolens",1000000175
"32",3207,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","30/10/11","9:44:44","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",79.20835114,26.83751297,27.13721275,381.269043,498.9510193,100.1763306,-9999,2.037033498,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.273290805,14.32552153,0.800054289,285.3817322,"Acmena graveolens",1000000175
"33",3208,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","30/10/11","9:50:01","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",79.11863708,27.28790283,27.49918175,375.3742981,310.0237427,100.1754761,-9999,1.01286443,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.127946947,8.606571979,0.805426136,258.9451261,"Acmena graveolens",1000000175
"34",3209,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","30/10/11","9:54:06","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",76.14041138,27.39336014,27.9757843,359.1782837,374.79953,100.1792603,-9999,1.001791148,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.100821739,6.936838412,1.000700428,240.4479571,"Acmena graveolens",1000000175
"35",3210,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","30/10/11","9:56:49","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",76.22318268,27.71297836,27.97541046,364.7724609,422.7196655,100.1783524,-9999,1.502752844,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.16392581,8.418322142,0.944902881,273.1577696,"Acmena graveolens",1000000175
"36",3211,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","30/10/11","13:53:32","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",71.9458313,28.08631897,30.2117939,371.2072754,1929.43457,100.0558624,-9999,3.600838815,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.242626938,13.67580424,1.568556873,265.5180403,"Acmena graveolens",1000000175
"37",3212,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","30/10/11","13:55:08","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",66.43977356,28.58058548,30.45073509,375.8326721,1898.017456,100.0536499,-9999,2.866809488,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.167186945,11.75233109,1.764115394,248.0249159,"Acmena graveolens",1000000175
"38",3213,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","30/10/11","13:56:49","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",69.90183258,28.83007813,31.39994431,369.2508545,1788.918945,100.0495987,-9999,3.739340209,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.213116547,14.02199161,1.831513995,247.1925977,"Acmena graveolens",1000000175
"39",3214,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","30/10/11","13:58:41","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",73.26872253,28.85716629,30.25371552,363.9049988,1324.628784,100.0476608,-9999,4.40589106,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.344196825,16.36632867,1.400499831,271.7934042,"Acmena graveolens",1000000175
"40",3215,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","30/10/11","14:00:49","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",70.95481873,28.8571682,30.12375832,364.9578552,1099.977173,100.0469666,-9999,3.874094599,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.284376741,16.09091568,1.460688857,258.3598998,"Acmena graveolens",1000000175
"41",3216,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","4/11/11","9:53:03","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",84.36431885,26.26549339,26.10320854,392.4223633,298.5342407,100.2256012,-9999,0.588074544,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.118722088,3.685348403,0.503220918,337.7715278,"Acmena graveolens",1000000175
"42",3217,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","4/11/11","9:55:16","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",85.26067352,26.38230133,26.63577271,390.9554443,490.1156311,100.2284012,-9999,0.630490967,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.113950525,4.595831692,0.560661754,320.6909091,"Acmena graveolens",1000000175
"43",3218,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","4/11/11","9:57:49","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",86.81503296,26.57199669,27.36116409,389.6567078,740.5150757,100.2244415,-9999,0.863110622,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.140991657,5.280839909,0.62579615,323.2420093,"Acmena graveolens",1000000175
"44",3219,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","4/11/11","9:59:48","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",86.35006714,26.57939529,27.12290573,391.9309998,420.6268921,100.2240219,-9999,0.647725783,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.111017141,4.259376957,0.590000489,324.7912872,"Acmena graveolens",1000000175
"45",3220,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","4/11/11","10:01:55","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",87.52326965,26.55452156,27.20367432,391.2636414,501.3332214,100.2221832,-9999,0.723974512,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.12913053,4.543682648,0.570632875,329.1584344,"Acmena graveolens",1000000175
"46",3221,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","4/11/11","13:57:32","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",64.20349121,29.16077232,30.48217583,385.3989868,1524.919189,100.1259079,-9999,2.369250758,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.135948931,10.20919751,1.773642068,250.5040658,"Acmena graveolens",1000000175
"47",3222,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","4/11/11","13:59:04","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",62.79088211,29.11626053,29.73184013,388.9734192,994.0606689,100.1215668,-9999,1.849131725,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.1130241,8.186713541,1.652919889,259.8780638,"Acmena graveolens",1000000175
"48",3223,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","4/11/11","14:00:56","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",66.29405975,29.17148018,29.2643528,384.8474731,1110.686401,100.1232681,-9999,3.08171946,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.233939151,11.30552299,1.390938256,293.753051,"Acmena graveolens",1000000175
"49",3224,"C3","angiosperm","tree","evergreen","tropical","humid",1.294,"opt","4/11/11","14:03:03","Jeff Kelly","rainforest","spp1_top_wet","Daintree rainforest canopy crane_QLD_AU",66.25924683,29.34654999,31.08510208,385.0977478,1548.458984,100.1264114,-9999,3.291971849,-9999,-9999,-16.1,145.45,-9999,-9999,-9999,"top canopy",-9999,-9999,"Licor 6400","WET","ambient","-9999","field","none","DAINTREE STOMATAL SET","spot measurements",-9999,-9999,0.187938242,11.31341906,1.814611073,272.9164938,"Acmena graveolens",1000000175
